DIT ID;DIT Main Category;DIT Sub Category;Language;Descriptions
1000;Agriculture, Forestry, Fishing;;en;
1001;Agriculture, Forestry, Fishing;Agriculture;en;Activities relating to the growing & planting of plants and raising & breeding of animals for food production and other purposes. Including farms, vineyards, horse breeding, production of fur skins and renting of agricultural equipment.
1002;Agriculture, Forestry, Fishing;Fishing;en;Fishing and farming of marine animals and fish for commercial purposes (includes whale catching, gathering shellfish). Excludes processing of fish, recreation fishing and boat/ship activities.
1003;Agriculture, Forestry, Fishing;Forestry;en;Growing & logging of forests, gathering of forest products (e.g. truffles, cork, mosses), and other forestry services (e.g. forest fire fighting, forest tree nurseries, forest replanting).
1099;Agriculture, Forestry, Fishing;Other (Agriculture, Forestry, Fishing);en;Other agriculture, forestry or fishing services not included in another category.
1100;Mining and Drilling;;en;
1101;Mining and Drilling;Mining and Drilling;en;Mining, drilling and quarrying activities, including the extraction of petroleum and natural gas.
1200;Manufacturing ;;en;
1201;Manufacturing ;"Manufacturing of Agricultural, Forestry and Gardening Supplies
";en;Manufacture of agricultural, forestry and gardening supplies including fertilisers, pesticides and agricultural machinery (tractors, lawnmowers, harvesters, etc.).
1202;Manufacturing ;Manufacturing of Chemicals;en;Manufacture of general chemicals, including petroleum products, plastics, paints and detergents.
1203;Manufacturing ;Manufacturing of Clothes and Accessories;en;Manufacture of textiles, jewellery and clothing, including finishing activities like bleaching & dying, manufacturers of carpets, cushions & curtains, miliners and custom tailoring.
1204;Manufacturing ;"Manufacturing of Computer, Electronic and Optical Products
";en;Manufacturing of computing and electronic products, including measurement instruments, photographic equipment, batteries and wiring devices.
1205;Manufacturing ;Manufacturing of Construction Products;en;Manufacture of parts that are integral to a building (e.g. wooden beams, windows, flooring), manufacture of construction equipment, and activities of stonemasons and other traditional craftsmen.
1206;Manufacturing ;Manufacturing of Food Products;en;Processing and manufacture of food, drink and tobacco products. Note, this includes bakeries and pastry shops even though they also retail the food products. Manufacture of food and food supplements for farm animals and pets. This excludes food prepared for immediate consumption.
1207;Manufacturing ;"Manufacturing of Furniture and Appliances
";en;Manufacture of furniture and appliances, including finishing activities like upholstery of seats.
1208;Manufacturing ;Manufacturing of Healthcare and Medical products;en;Manufacture of pharmaceutical products, medicines and medical equipment. Also includes the processing of blood.
1209;Manufacturing ;Manufacturing of Information Technology and Telecommunications Goods;en;Manufacture of computers & peripheral equipment, communication equipment and consumer electronics. Manufacture of electronic components and boards.
1210;Manufacturing ;Manufacturing of Leisure Equipment;en;Manufacture of musical instruments, sports goods, games, toys and other leisure equipment.
1211;Manufacturing ;Manufacturing of Machinery and Equipment;en;Manufacture of machinery and equipment excluding items used predominantly for construction, agriculture or food/textile manufacturing. Including lifting equipment, power-driven hand tools and retreading machines.
1212;Manufacturing ;Manufacturing of Metal Products;en;Manufacture of metal products excluding items used predominantly in construction, energy production/utilities, or transportation/storage. Including manufacture of weapons, forging and machining.
1213;Manufacturing ;Manufacturing of Motor Vehicles;en;Manufacture of cars and car accessories, including tyres, trailers and electrical equipment. Excluding motorcycles and other forms of transport.
1214;Manufacturing ;Manufacturing of Non-Electrical Consumer Goods;en;Manufacture of various other non-electrical consumer goods including safety equipment, umbrellas, pens, candles, coins and cigarette lighters.
1215;Manufacturing ;Manufacturing of Raw Materials and Parts;en;Manufacture of components and raw materials, including products made from rubber, plastic, glass and ceramics, and manufacture of basic metals. Excluding tyres, and construction equipment and materials.
1216;Manufacturing ;Manufacturing of Transportation Equipment;en;Manufacture of modes of transportation (excluding cars) and related equipment, and storage equipment such as steel drums and packaging.
1217;Manufacturing ;Manufacturing of Wood and Paper Products;en;Manufacture of various wooden or paper products for use in the home, including wooden statuettes and ornaments, baskets, picture frames and sanitary products. Manufacture of/from pulp, paper and paperboard, and manufacture of paper stationary.
1299;Manufacturing ;Other (Manufacturing);en;Other manufacturing activities not included in another category
1300;Energy and Utility Suppliers;;en;
1301;Energy and Utility Suppliers;Electricity;en;Electricity generation services including production, transmission, distribution and trade. Also includes manufacture of apparatus for electricity generation and distribution.
1302;Energy and Utility Suppliers;Gas;en;Gas distribution services, including manufacture, supply and trade.
1303;Energy and Utility Suppliers;Water Supply;en;Water collection, treatment & supply, and sewerage activities.
1304;Energy and Utility Suppliers;Waste Collection, Treatment and Disposal Activities;en;Waste collection, treatment & disposal, as well as recovery of materials and decontamination activities. Includes car & vehicle dismantlers, asbestos removal and recycling.
1400;Construction;;en;
1401;Construction;Architects & Planners;en;Architectural services (e.g. urban design, structural building design and building surveyors).
1402;Construction;Development of Building Projects;en;Construction of residential and non-residential buildings, including construction of extensions and attic/garage conversions. Project management of building projects. Demolition and site preparation services including excavation, test drilling and clearing of building sites.
1403;Construction;Development of Infrastructure Projects;en;Project management and construction of roads, railways, and other infrastructure & civil engineering projects. Including sports facilities, and utility and water projects (e.g. reservoirs, power plants, harbours). Also includes related activies like painting of road markings.
1404;Construction;Electrical Installation;en;Electrical installation, including electricians, lighting experts, PAT testing services, aerial/network specialists and installation of solar panels.
1405;Construction;Plumbing, Heating and Air-Conditioning Installation;en;Plumbing, heating and air-conditioning services, including plumbers, drainage specialists, heating engineers and bathroom & swimming pool specialists.
1406;Construction;Roofing Activities;en;Roofing activities including roof erection, guttering and roof tiling, slating and thatching.
1407;Construction;Painting and Glazing;en;Painting and glazing services, including: painters & decorators, glazers (fitters of windows & mirrors), stained glass specialists and conservatory construction.
1408;Construction;Floor and Wall Covering;en;Floor and wall covering services, including laying, tiling, hanging or fitting of tiles, wallpaper, interior cladding and carpets.
1409;Construction;Plastering;en;Plastering and rendering services including application of stucco and other lathing materials.
1410;Construction;Joinery Installation;en;Joinery installation including carpentry, joinery, kitchen/bedroom/shop design & installation, and installers of doors and staircases.
1411;Construction;Rental of Construction and Earthmoving Machinery;en;Renting & leasing of construction equipment/machinery without erection/operator, including crane lorries, scaffolding and machine tools.
1499;Construction;Other (Construction);en;Other construction activities including access/scaffolding suppliers, construction of foundations, damp proofing, installation of elevators, revolving doors, lightning conductors and cleaning following construction. Other construction-related organisations not included in other categories. 
1500;Automotive;;en;
1501;Automotive;Sale of Motor Vehicles;en;Sale of motor vehicles (e.g. car dealerships).
1502;Automotive;Maintenance and Repair of Motor Vehicles;en;Maintenance and repair of motor vehicles including breakdown recovery, car repairs, car servicing, mechanics, auto engineers and petrol stations.
1503;Automotive;Rental of Motor Vehicles;en;Rental of motor vehicles (including cars, trucks and recreational vehicles) without a driver.
1504;Automotive;Sale, Maintenance and Repair of Motorcycles and Related Parts and Accessories;en;Motorcycle sales, repairs & services including sale of parts and accessories.
1505;Automotive;Trade of Motor Vehicle Parts and Accessories;en;Wholesale & retail trade of car accessories, parts & electrics (excludes retail of fuel).
1599;Automotive;Other (Automotive);en;Other automotive services not included in another category.
1600;Trade;;en;
1601;Trade;General Mixed Trade;en;Retail and wholsale of mixed goods or specialised goods not included in another category, e.g. retail through vending machines, mail order and online shops. Excludes supermarkets where food and drink products dominate.
1602;Trade;Sale of Agricultural, Forestry and Gardening Supplies;en;Sale of agricultural equipment, materials and supplies, including sale of live animals, flowers and plants at garden centres/nurseries and pet shops. Wholesale of grains and animal feeds.
1603;Trade;Sale of Clothes and Accessories;en;Wholesale/retail of textiles, clothing, fur, footwear and leather goods. Including retail blinds and carperts, retail of clocks & watches, jewellers, bridal shops & dressmakers, and fancy dress shops. Repair of clocks, watches, footwear and leather goods as well as washing and dry cleaning of clothing and textiles.
